symbol,timestamp,open,high,low,close
EURUSD=X,2020-12-30,0.81311,0.81819,0.81241,0.81303
EURUSD=X,2020-12-29,0.81615,0.81623,0.81247,0.81617
EURUSD=X,2020-12-28,0.81838,0.81838,0.81473,0.81833
EURUSD=X,2020-12-27,0.81926,0.82084,0.81632,0.81939
EURUSD=X,2020-12-24,0.82102,0.82271,0.81920,0.82095
EURUSD=X,2020-12-23,0.82012,0.82110,0.81863,0.82029
EURUSD=X,2020-12-22,0.82065,0.82256,0.81838,0.82061
EURUSD=X,2020-12-21,0.81739,0.82202,0.81593,0.81735
EURUSD=X,2020-12-20,0.81904,0.82442,0.81737,0.81863
EURUSD=X,2020-12-17,0.81566,0.81792,0.81515,0.81554
EURUSD=X,2020-12-16,0.81991,0.82024,0.81565,0.81993
EURUSD=X,2020-12-15,0.82284,0.82329,0.81897,0.82280
EURUSD=X,2020-12-14,0.82325,0.82465,0.82194,0.82318
EURUSD=X,2020-12-13,0.82420,0.82531,0.82144,0.82422
EURUSD=X,2020-12-10,0.82353,0.82595,0.82219,0.82352
EURUSD=X,2020-12-09,0.82791,0.82791,0.82263,0.82799
EURUSD=X,2020-12-08,0.82581,0.82825,0.82326,0.82587
EURUSD=X,2020-12-07,0.82586,0.82669,0.82416,0.82559
EURUSD=X,2020-12-06,0.82509,0.82780,0.82216,0.82504
EURUSD=X,2020-12-03,0.82340,0.82418,0.82121,0.82336
EURUSD=X,2020-12-02,0.82556,0.82632,0.82142,0.82547
EURUSD=X,2020-12-01,0.82854,0.83055,0.82595,0.82842
EURUSD=X,2020-11-30,0.83771,0.83781,0.82966,0.83771
EURUSD=X,2020-11-29,0.83544,0.83727,0.83324,0.83538
EURUSD=X,2020-11-26,0.83967,0.83977,0.83600,0.83955
EURUSD=X,2020-11-25,0.83914,0.84135,0.83750,0.83919
EURUSD=X,2020-11-24,0.84058,0.84168,0.83839,0.84051
EURUSD=X,2020-11-23,0.84448,0.84474,0.84077,0.84438
EURUSD=X,2020-11-22,0.84286,0.84727,0.83991,0.84277
EURUSD=X,2020-11-19,0.84268,0.84381,0.84101,0.84273
EURUSD=X,2020-11-18,0.84442,0.84625,0.84373,0.84408
EURUSD=X,2020-11-17,0.84291,0.84383,0.84101,0.84303
EURUSD=X,2020-11-16,0.84321,0.84419,0.84087,0.84325
EURUSD=X,2020-11-15,0.84432,0.84644,0.84257,0.84427
EURUSD=X,2020-11-12,0.84712,0.84753,0.84504,0.84717
EURUSD=X,2020-11-11,0.84918,0.85041,0.84599,0.84897
EURUSD=X,2020-11-10,0.84605,0.85130,0.84518,0.84615
EURUSD=X,2020-11-09,0.84583,0.84888,0.84439,0.84573
EURUSD=X,2020-11-08,0.84089,0.84769,0.83900,0.84089
EURUSD=X,2020-11-05,0.84649,0.84775,0.84104,0.84625
EURUSD=X,2020-11-04,0.85257,0.85380,0.84348,0.85237
EURUSD=X,2020-11-03,0.85005,0.86154,0.84986,0.85022
EURUSD=X,2020-11-02,0.85908,0.85940,0.85185,0.85903
EURUSD=X,2020-11-01,0.85897,0.86036,0.85800,0.85900
EURUSD=X,2020-10-29,0.85651,0.85890,0.85445,0.85633
EURUSD=X,2020-10-28,0.85130,0.85795,0.85049,0.85120
EURUSD=X,2020-10-27,0.84882,0.85334,0.84839,0.84890
EURUSD=X,2020-10-26,0.84683,0.84767,0.84479,0.84681
EURUSD=X,2020-10-25,0.84406,0.84721,0.84387,0.84403
EURUSD=X,2020-10-22,0.84648,0.84839,0.84324,0.84642
EURUSD=X,2020-10-21,0.84388,0.84655,0.84273,0.84375
EURUSD=X,2020-10-20,0.84542,0.84552,0.84182,0.84538
EURUSD=X,2020-10-19,0.84981,0.85018,0.84467,0.84977
EURUSD=X,2020-10-18,0.85364,0.85448,0.84800,0.85362
EURUSD=X,2020-10-15,0.85432,0.85521,0.85146,0.85425
EURUSD=X,2020-10-14,0.85134,0.85547,0.85055,0.85151
EURUSD=X,2020-10-13,0.85163,0.85322,0.84962,0.85165
EURUSD=X,2020-10-12,0.84647,0.85224,0.84647,0.84651
EURUSD=X,2020-10-11,0.84652,0.84841,0.84563,0.84645
EURUSD=X,2020-10-08,0.84987,0.85049,0.84578,0.84998
EURUSD=X,2020-10-07,0.84997,0.85219,0.84892,0.85005
EURUSD=X,2020-10-06,0.85201,0.85295,0.84885,0.85203
EURUSD=X,2020-10-05,0.84836,0.84983,0.84698,0.84818
EURUSD=X,2020-10-04,0.85332,0.85337,0.84779,0.85327
EURUSD=X,2020-10-01,0.85154,0.85494,0.85149,0.85148
EURUSD=X,2020-09-30,0.85304,0.85353,0.84989,0.85297
EURUSD=X,2020-09-29,0.85163,0.85577,0.85074,0.85175
EURUSD=X,2020-09-28,0.85634,0.85725,0.85169,0.85628
EURUSD=X,2020-09-27,0.85956,0.86093,0.85624,0.85951
EURUSD=X,2020-09-24,0.85672,0.86112,0.85581,0.85669
EURUSD=X,2020-09-23,0.85754,0.85993,0.85625,0.85782
EURUSD=X,2020-09-22,0.85421,0.85730,0.85340,0.85413
EURUSD=X,2020-09-21,0.85024,0.85523,0.84957,0.85005
EURUSD=X,2020-09-20,0.84429,0.85244,0.84233,0.84425
EURUSD=X,2020-09-17,0.84375,0.84538,0.84250,0.84402
EURUSD=X,2020-09-16,0.84717,0.85172,0.84553,0.84723
EURUSD=X,2020-09-15,0.84453,0.84647,0.84175,0.84433
EURUSD=X,2020-09-14,0.84273,0.84454,0.84039,0.84262
EURUSD=X,2020-09-13,0.84440,0.84524,0.84123,0.84463
EURUSD=X,2020-09-10,0.84563,0.84567,0.84225,0.84576
EURUSD=X,2020-09-09,0.84731,0.84731,0.83935,0.84719
EURUSD=X,2020-09-08,0.84972,0.85085,0.84529,0.84983
EURUSD=X,2020-09-07,0.84613,0.84986,0.84556,0.84609
EURUSD=X,2020-09-06,0.84492,0.84652,0.84400,0.84506
EURUSD=X,2020-09-03,0.84439,0.84882,0.84293,0.84464
EURUSD=X,2020-09-02,0.84424,0.84822,0.84407,0.84416
EURUSD=X,2020-09-01,0.83876,0.84575,0.83867,0.83875
EURUSD=X,2020-08-31,0.83763,0.83775,0.83267,0.83773
EURUSD=X,2020-08-30,0.83924,0.84144,0.83586,0.83907
EURUSD=X,2020-08-27,0.84601,0.84667,0.83900,0.84617
EURUSD=X,2020-08-26,0.84464,0.84997,0.84087,0.84469
EURUSD=X,2020-08-25,0.84509,0.84927,0.84467,0.84500
EURUSD=X,2020-08-24,0.84795,0.84859,0.84447,0.84789
EURUSD=X,2020-08-23,0.84758,0.84849,0.84397,0.84765
EURUSD=X,2020-08-20,0.84244,0.85070,0.84157,0.84247
EURUSD=X,2020-08-19,0.84452,0.84703,0.84259,0.84445
EURUSD=X,2020-08-18,0.83704,0.84084,0.83669,0.83700
EURUSD=X,2020-08-17,0.84210,0.84218,0.83579,0.84213
EURUSD=X,2020-08-16,0.84390,0.84535,0.84174,0.84374
EURUSD=X,2020-08-13,0.84635,0.84860,0.84488,0.84630
EURUSD=X,2020-08-12,0.84774,0.84796,0.84303,0.84791
EURUSD=X,2020-08-11,0.85200,0.85390,0.84660,0.85209
EURUSD=X,2020-08-10,0.85201,0.85303,0.84718,0.85198
EURUSD=X,2020-08-09,0.84879,0.85163,0.84749,0.84875
EURUSD=X,2020-08-06,0.84220,0.85064,0.84163,0.84215
EURUSD=X,2020-08-05,0.84246,0.84598,0.83956,0.84228
EURUSD=X,2020-08-04,0.84644,0.84753,0.84000,0.84642
EURUSD=X,2020-08-03,0.85041,0.85299,0.84717,0.85027
EURUSD=X,2020-08-02,0.84882,0.85464,0.84841,0.84880
EURUSD=X,2020-07-30,0.84223,0.84734,0.83986,0.84232
EURUSD=X,2020-07-29,0.84862,0.85235,0.84698,0.84874
EURUSD=X,2020-07-28,0.85328,0.85368,0.84911,0.85346
EURUSD=X,2020-07-27,0.84992,0.85477,0.84940,0.84970
EURUSD=X,2020-07-26,0.85825,0.85825,0.84894,0.85837
EURUSD=X,2020-07-23,0.86249,0.86348,0.85933,0.86241
EURUSD=X,2020-07-22,0.86458,0.86642,0.86033,0.86470
EURUSD=X,2020-07-21,0.86693,0.86898,0.86212,0.86703
EURUSD=X,2020-07-20,0.87279,0.87527,0.86996,0.87286
EURUSD=X,2020-07-19,0.87423,0.87685,0.87213,0.87400
EURUSD=X,2020-07-16,0.87824,0.87897,0.87422,0.87813
EURUSD=X,2020-07-15,0.87604,0.87880,0.87404,0.87596
EURUSD=X,2020-07-14,0.87639,0.87785,0.87329,0.87642
EURUSD=X,2020-07-13,0.88152,0.88300,0.87667,0.88142
EURUSD=X,2020-07-12,0.88433,0.88480,0.87948,0.88423
EURUSD=X,2020-07-09,0.88606,0.88834,0.88307,0.88594
EURUSD=X,2020-07-08,0.88222,0.88594,0.87952,0.88206
EURUSD=X,2020-07-07,0.88713,0.88773,0.88163,0.88693
EURUSD=X,2020-07-06,0.88416,0.88813,0.88248,0.88409
EURUSD=X,2020-07-05,0.88906,0.88906,0.88145,0.88917
EURUSD=X,2020-07-02,0.88992,0.89123,0.88900,0.88991
EURUSD=X,2020-07-01,0.88868,0.89069,0.88486,0.88883
EURUSD=X,2020-06-30,0.89028,0.89377,0.88700,0.89019
EURUSD=X,2020-06-29,0.88916,0.89350,0.88801,0.88915
EURUSD=X,2020-06-28,0.89101,0.89135,0.88594,0.89107
EURUSD=X,2020-06-25,0.89136,0.89309,0.88978,0.89143
